Device Identifier;Device Name;Device Manufacturer;Bluetooth Version
iPad7,5;iPad 6th Gen (WiFi);Apple;Bluetooth 4.2
iPad7,6;iPad 6th Gen (WiFi+Cellular);Apple;Bluetooth 4.2
iPad8,1;iPad Pro 3rd Gen (11 inch, WiFi);Apple;Bluetooth 5.0
iPad8,2;iPad Pro 3rd Gen (11 inch, 1TB, WiFi);Apple;Bluetooth 5.0
iPad8,3;iPad Pro 3rd Gen (11 inch, WiFi+Cellular);Apple;Bluetooth 5.0
iPad8,4;iPad Pro 3rd Gen (11 inch, 1TB, WiFi+Cellular);Apple;Bluetooth 5.0
iPad8,5;iPad Pro 3rd Gen (12.9 inch, WiFi);Apple;Bluetooth 5.0
iPad8,6;iPad Pro 3rd Gen (12.9 inch, 1TB, WiFi);Apple;Bluetooth 5.0
iPad8,7;iPad Pro 3rd Gen (12.9 inch, WiFi+Cellular);Apple;Bluetooth 5.0
iPad8,8;iPad Pro 3rd Gen (12.9 inch, 1TB, WiFi+Cellular);Apple;Bluetooth 5.0
Watch1,1;Apple Watch 38mm case;Apple;Bluetooth 4.0
Watch1,2;Apple Watch 38mm case;Apple;Bluetooth 4.0
Watch2,6;Apple Watch Series 1 38mm case;Apple;Bluetooth 4.0
Watch2,7;Apple Watch Series 1 42mm case;Apple;Bluetooth 4.0
Watch2,3;Apple Watch Series 2 38mm case;Apple;Bluetooth 4.0
Watch2,4;Apple Watch Series 2 42mm case;Apple;Bluetooth 4.0
Watch3,1;Apple Watch Series 3 38mm case (GPS+Cellular);Apple;Bluetooth 5.0
Watch3,2;Apple Watch Series 3 42mm case (GPS+Cellular);Apple;Bluetooth 5.0
Watch3,3;Apple Watch Series 3 38mm case (GPS);Apple;Bluetooth 5.0
Watch3,4;Apple Watch Series 3 42mm case (GPS);Apple;Bluetooth 5.0
Watch4,1;Apple Watch Series 4 40mm case (GPS);Apple;Bluetooth 5.0
Watch4,2;Apple Watch Series 4 44mm case (GPS);Apple;Bluetooth 5.0
Watch4,3;Apple Watch Series 4 40mm case (GPS+Cellular);Apple;Bluetooth 5.0
Watch4,4;Apple Watch Series 4 44mm case (GPS+Cellular);Apple;Bluetooth 5.0
Smartfren Andromax AD681H;;;N/A
FJL21;;;N/A
MediaPad 7 Youth 2;;;N/A
D;D;10.or;N/A
E;E;10.or;N/A
G;G;10.or;N/A
G2;G2;10.or;N/A
GT10K3IPS;GT10K3IPS;3Go;N/A
GT70053G;GT70053G;3Go;N/A
GT7007EQC;GT7007EQC;3Go;N/A
OC1020A;OC1020A;3Q;N/A
Light B100;4GOOD Light B100;4good;N/A
Light A103;A103;4good;N/A
IN265;IN265;7Eleven;N/A
DRENA;DRENA;7mobile;N/A
KAMBA;KAMBA;7mobile;N/A
Kamba_2;Kamba 2;7mobile;N/A
SWEGUE;SWEGUE;7mobile;N/A
Swegue 2;Swegue 2;7mobile;N/A
TR10CS1;A.O.I.;A.O.I. ELECTRONICS FACTORY;N/A
VFD 720;A1 Smart N9;A1;N/A
BUZZ 1;AS0218;ACE France;N/A
URBAN 1 Pro;AS0518;ACE France;N/A
CLEVER 1;AS0618;ACE France;N/A
BUZZ 1 Lite;BUZZ_1_Lite;ACE France;N/A
BUZZ 1 Plus;BUZZ_1_Plus;ACE France;N/A
URBAN 1;URBAN 1;ACE France;N/A
V10401;V10401;ACKEES;N/A
ACT4K1007;ACT4K1007;ACT;N/A
E4010;AG BOOST 2;AG Mobile;N/A
Flair;AG Flair;AG Mobile;N/A
AG_Go_Tab_Access_2;AG Go Tab Access 2;AG Mobile;N/A
Ultra 2;AG Ultra2;AG Mobile;N/A
AGM H1;AGM  H1;AG Mobile;N/A
AGM A9;AGM A9;AG Mobile;N/A
AGM X3;AGM X3;AG Mobile;N/A
AG Go-Tab Access;AG_Go-Tab_Access;AG Mobile;N/A
AG_Tab_7_0;AG_Tab_7_0;AG Mobile;N/A
Boost;Boost;AG Mobile;N/A
Chacer;Chacer;AG Mobile;N/A
Freedom Access;Freedom Access;AG Mobile;N/A
Freedom E;Freedom E;AG Mobile;N/A
Freedom Plus LTE;Freedom Plus LTE;AG Mobile;N/A
Ghost;Ghost;AG Mobile;N/A
Glow;Glow;AG Mobile;N/A
Hashtag;HASHTAG;AG Mobile;N/A
Hype;Hype;AG Mobile;N/A
Neon;Neon;AG Mobile;N/A
Quest;Quest;AG Mobile;N/A
Rage;Rage;AG Mobile;N/A
STYLE_PLUS;STYLE PLUS;AG Mobile;N/A
Shine;Shine;AG Mobile;N/A
Status;Status;AG Mobile;N/A
Style;Style;AG Mobile;N/A
Style 2;Style_2;AG Mobile;N/A
Swift;Swift;AG Mobile;N/A
Swift_Plus;Swift_Plus;AG Mobile;N/A
Ultra;ULTRA;AG Mobile;N/A
Zenith;Zenith;AG Mobile;N/A
Zone;Zone;AG Mobile;N/A
Zoom;Zoom;AG Mobile;N/A
MD1001;MD1001 Tablet;AMTC;N/A
MD7008;MD7008;AMTC;N/A
MD7081;MD7081;AMTC;N/A
A1_Neo;A1 Neo;ANEE;N/A
L51;L51;ANS;N/A
H450R;Trailblazer;ANS;N/A
UL40;UL40;ANS;N/A
A110_E;A110_E;AOC;N/A
A731-N1;A731;AOC;N/A
A731-N2;A731-N2;AOC;N/A
A741;A741;AOC;N/A
A941;A941;AOC;N/A
A731;AOC;AOC;N/A
A731-H1;AOC;AOC;N/A
A732G;AOC;AOC;N/A
A831L-D;AOC;AOC;N/A
AOpen Chromebase Mini;"RK3288 10"" Chromebase";AOpen;N/A
AOpen Chromebox Mini;RK3288 Mini Chromebox;AOpen;N/A
AA 787 S;AA 787 S;ASTCA;N/A
IDEA;IDEA;ASTON;N/A
9020A;9020A;AT&T;N/A
AT&T TV;AT&T TV;AT&T;N/A
c71kw200;AT&T TV;AT&T;N/A
QS5509A;QS5509A;AT&T;N/A
R5Plus;R5Plus;ATM (Brazil);N/A
AURII ULTRA;AURII ULTRA;AURII;N/A
AURII_AMUSE_4G;AURII_AMUSE_4G;AURII;N/A
AURII_FAME;AURII_FAME;AURII;N/A
AV10;AV10;AV;N/A
AV7;AV7;AV;N/A
ActionKids3.0;ActionKids3.0;AVH San Luis S.A.;N/A
Action_Kids_3.0;Actionkids 3.0;AVH San Luis S.A.;N/A
Excer_10_PRO;Excer 10PRO;AVH San Luis S.A.;N/A
Excer_G10;Excer G10;AVH San Luis S.A.;N/A
Excer G5.6;Excer G5.6;AVH San Luis S.A.;N/A
ExcerG5.6;ExcerG5.6;AVH San Luis S.A.;N/A
Excer_P1;Excer_P1;AVH San Luis S.A.;N/A
Excer_T8;Excer_T8;AVH San Luis S.A.;N/A
Vortech3.0;Vortech3.0;AVH San Luis S.A.;N/A
Vortech 3.0;Vortech_3_0;AVH San Luis S.A.;N/A
AXXA_S45;AXXA S45;AXXA;N/A
AXXA S71;AXXA S71;AXXA;N/A
AXXA_S45_PLUS;AXXA_S45_PLUS;AXXA;N/A
PRO;PRO;AXXA;N/A
AZDroid;AZDroid;AZBox;N/A
A720;A720;AZPEN;N/A
A780;A780;AZPEN;N/A
A920;A920;AZPEN;N/A
K749;K749;AZPEN;N/A
WE A10;A10;Aamra WE;N/A
WE A50;A50;Aamra WE;N/A
WE E2;E2;Aamra WE;N/A
A08S;A08SM;Abocom;N/A
CAMELEON_C5;Accent Camelon C5;Accent;N/A
CAMELEON_C6;Accent Camelon C6;Accent;N/A
CAMELEON_C6_PLUS;Accent Camelon C6 Plus;Accent;N/A
C5;C5;Accent;N/A
CAMELEON C5;CAMELEON C5;Accent;N/A
FAST7 3G;FAST7 3G;Accent;N/A
FAST73G;FAST73G;Accent;N/A
KIDZY70;KIDZY70;Accent;N/A
PEARL A4 Lite;PEARL A4 Lite;Accent;N/A
PEARL A6;PEARL A6;Accent;N/A
PEARL A4 PLUS;Pearl A4 PLUS;Accent;N/A
Pearl A4;Pearl_A4;Accent;N/A
SPEED_S8;SPEED S8;Accent;N/A
TANK_P55;TANK_P55;Accent;N/A
fm502;fm502;Access;N/A
One_Mundial;One_Mundial;Acegame S.A.;N/A
PROTON_JADE_2_PRO;PROTON_JADE_2_PRO;Acegame S.A.;N/A
SAPPHIRE_HDLT;SAPPHIRE_HDLT;Acegame S.A.;N/A
Acer E320;;Acer;N/A
Acer E320-orange;;Acer;N/A
E330;;Acer;N/A
E350;;Acer;N/A
E130;;Acer;N/A
AT390;;Acer;N/A
TD600;;Acer;N/A
Stream;;Acer;N/A
S300;;Acer;N/A
E310;;Acer;N/A
E140;;Acer;N/A
E210;;Acer;N/A
A1-713;A1-713;Acer;N/A
A1-734;A1-734;Acer;N/A
A1-810;A1-810;Acer;N/A
A1-811;A1-811;Acer;N/A
A1-830;A1-830;Acer;N/A
A100;A100;Acer;N/A
A101;A101;Acer;N/A
A110;A110;Acer;N/A
A3-A10;A3-A10;Acer;N/A
A3-A11;A3-A11;Acer;N/A
A3-A20;A3-A20;Acer;N/A
A3-A20FHD;A3-A20FHD;Acer;N/A
A3-A30;A3-A30;Acer;N/A
A3-A40;A3-A40;Acer;N/A
AK330S;AK330s;Acer;N/A
Acer Chromebook 11 (C740);Acer Chromebook 11 (C740);Acer;N/A
Acer Chromebook R13 (CB5-312T);Acer Chromebook R13;Acer;N/A
C01;Acer Holo360;Acer;N/A
Acer One 7 4G;Acer One 7;Acer;N/A
Acer One 7 4G;Acer One 7 4G;Acer;N/A
AA3-600;Aspire A3;Acer;N/A
B1-710;B1-710;Acer;N/A
B1-711;B1-711;Acer;N/A
b1-720;B1-720;Acer;N/A
b1-721;B1-721;Acer;N/A
B1-723;B1-723;Acer;N/A
B1-730;B1-730;Acer;N/A
B1-730HD;B1-730HD;Acer;N/A
B1-733;B1-733;Acer;N/A
B1-780;B1-780;Acer;N/A
B1-790;B1-790;Acer;N/A
B1-820;B1-820;Acer;N/A
B1-850;B1-850;Acer;N/A
B1-A71;B1-A71;Acer;N/A
B3-A30;B3-A30;Acer;N/A
B3-A32;B3-A32;Acer;N/A
B3-A40;B3-A40;Acer;N/A
B3-A40FHD;B3-A40FHD;Acer;N/A
C01;C01;Acer;N/A
C01;C01 (PA);Acer;N/A
CW01;CW01;Acer;N/A
Chromebook 14 for work (CP5-471);Chromebook 14 for work;Acer;N/A
Acer Chromebook 15 (CB3-532);Chromebook 15 (CB3-532);Acer;N/A
Acer Chromebook 15 (C910 / CB5-571);Chromebook 15 (CB5-571);Acer;N/A
Acer Chromebook 15 (CB5-571);Chromebook 15 (CB5-571);Acer;N/A
Chromebook 15 (CB515 - 1HT / 1H);Chromebook 15 CB515-1HT/1H;Acer;N/A
Chromebook 15 CB515-1HT/1H;Chromebook 15 CB515-1HT/1H;Acer;N/A
sand;Chromebook 15 CB515-1HT/1H;Acer;N/A
Acer Chromebook R11;Chromebook R11 (C738T);Acer;N/A
Acer Chromebook R11 (CB5-132T / C738T / CB3-132);Chromebook R11 (C738T);Acer;N/A
Acer Chromebook R11 (CB5-132T / C738T);Chromebook R11 (C738T);Acer;N/A
scarlet;Chromebook Tab 10;Acer;N/A
S500;CloudMobile S500;Acer;N/A
DA220HQL;DA220HQL;Acer;N/A
DA221HQL;DA221HQL;Acer;N/A
DA222HQL;DA222HQL;Acer;N/A
DA222HQLA;DA222HQLA;Acer;N/A
DA222HQLA;DA222HQLA;Acer;N/A
DA223HQL;DA223HQL;Acer;N/A
DA226HQ;DA226HQ;Acer;N/A
DA241HL;DA241HL;Acer;N/A
DA245HQL;DA245HQL;Acer;N/A
E380;E380;Acer;N/A
G1-715;G1-715;Acer;N/A
G100W;G100W;Acer;N/A
GT-810;GT-810;Acer;N/A
I110;I110;Acer;N/A
B1-730HD;Icona One 7;Acer;N/A
B3-A50;Iconia One 10;Acer;N/A
B3-A50FHD;Iconia One 10;Acer;N/A
B3-A32;Iconia One 10;Acer;N/A
B3-A20;Iconia One 10;Acer;N/A
B3-A20B;Iconia One 10;Acer;N/A
G1-725;Iconia One 7;Acer;N/A
B1-7A0;Iconia One 7;Acer;N/A
B1-790;Iconia One 7;Acer;N/A
B1-730HD;Iconia One 7;Acer;N/A
B1-750;Iconia One 7;Acer;N/A
B1-730;Iconia One 7;Acer;N/A
B1-860A;Iconia One 8;Acer;N/A
B1-870;Iconia One 8;Acer;N/A
A1-850;Iconia One 8;Acer;N/A
B1-810;Iconia One 8;Acer;N/A
A3-A50;Iconia Tab 10;Acer;N/A
B3-A40;Iconia Tab 10;Acer;N/A
B3-A40FHD;Iconia Tab 10;Acer;N/A
A3-A20;Iconia Tab 10;Acer;N/A
A3-A20FHD;Iconia Tab 10;Acer;N/A
B3-A42;Iconia Tab 10 (AsgardLTE);Acer;N/A
A1-713;Iconia Tab 7;Acer;N/A
A1-713HD;Iconia Tab 7;Acer;N/A
A1-840FHD;Iconia Tab 8;Acer;N/A
A1-840;Iconia Tab 8;Acer;N/A
A1-841;Iconia Tab 8;Acer;N/A
A100;Iconia Tab A100 (VanGogh);Acer;N/A
A101;Iconia Tab A100 (VanGogh);Acer;N/A
A200;Iconia Tab A200;Acer;N/A
A210;Iconia Tab A210;Acer;N/A
A211;Iconia Tab A211;Acer;N/A
A500;Iconia Tab A500;Acer;N/A
A501;Iconia Tab A501;Acer;N/A
A510;Iconia Tab A510;Acer;N/A
A511;Iconia Tab A511;Acer;N/A
A700;Iconia Tab A700;Acer;N/A
A701;Iconia Tab A701;Acer;N/A
A1-724;Iconia TalkTab 7;Acer;N/A
J73G;J73G;Acer;N/A
Acer Liquid;Liquid;Acer;N/A
Acer S100;Liquid;Acer;N/A
Liquid;Liquid;Acer;N/A
Z200;Liquid 200;Acer;N/A
I110;Liquid C1;Acer;N/A
V360;Liquid E1;Acer;N/A
V370;Liquid E2;Acer;N/A
E380;Liquid E3;Acer;N/A
E380;Liquid E3;Acer;N/A
Z130;Liquid E3S;Acer;N/A
E600;Liquid E600;Acer;N/A
E39;Liquid E700;Acer;N/A
AK330;Liquid Gallant E350;Acer;N/A
E350;Liquid Gallant E350;Acer;N/A
S55;Liquid Jade;Acer;N/A
S58A;Liquid Jade 2;Acer;N/A
S56;Liquid Jade S;Acer;N/A
S57;Liquid Jade Z;Acer;N/A
E310;Liquid Mini;Acer;N/A
S510;Liquid S1;Acer;N/A
S520;Liquid S2;Acer;N/A
S53;Liquid S3;Acer;N/A
T02;Liquid T2;Acer;N/A
S53;Liquid X1;Acer;N/A
S59;Liquid X2;Acer;N/A
Z200;Liquid Z200;Acer;N/A
Z205;Liquid Z205;Acer;N/A
Z205;Liquid Z205;Acer;N/A
Z205P;Liquid Z205;Acer;N/A
Z220;Liquid Z220;Acer;N/A
Z130;Liquid Z3;Acer;N/A
Z130;Liquid Z3;Acer;N/A
T012;Liquid Z320;Acer;N/A
T01;Liquid Z330;Acer;N/A
Z160;Liquid Z4;Acer;N/A
Z410;Liquid Z410;Acer;N/A
Z150;Liquid Z5;Acer;N/A
Z500;Liquid Z500;Acer;N/A
Z520;Liquid Z520;Acer;N/A
T02;Liquid Z530;Acer;N/A
T05;Liquid Z530S;Acer;N/A
T09;Liquid Z6;Acer;N/A
T11;Liquid Z6 Plus;Acer;N/A
T03;Liquid Z630;Acer;N/A
T04;Liquid Z630S;Acer;N/A
T10;Liquid Z6E;Acer;N/A
T06;Liquid Zest;Acer;N/A
T07;Liquid Zest 4G;Acer;N/A
T08;Liquid Zest Plus;Acer;N/A
Acer Liquid Metal;LiquidMT;Acer;N/A
Liquid MT;LiquidMT;Acer;N/A
Liquid Metal;LiquidMT;Acer;N/A
M3-2200;M3-2200;Acer;N/A
MWND1;MWND1;Acer;N/A
N3-2200;N3-2200;Acer;N/A
A501;Picasso;Acer;N/A
A500;Picasso;Acer;N/A
G100W;Picasso;Acer;N/A
TPA60W;Picasso;Acer;N/A
TA272HUL;TA2;Acer;N/A
TA272HUL;TA272HUL;Acer;N/A
TPA60W;TPA60W;Acer;N/A
TD070VA1;Tab 7;Acer;N/A
Z110;Z110;Acer;N/A
Z120;Z120;Acer;N/A
R726;R726;Aceson;N/A
ALIGATOR RX510;ALIGATOR RX510;Adart;N/A
ALIGATOR S4080;ALIGATOR S4080 Duo;Adart;N/A
S4082 Duo;ALIGATOR S4082 Duo;Adart;N/A
S5062 Duo;ALIGATOR S5062 Duo;Adart;N/A
Aligator S5510;ALIGATOR S5510 Duo;Adart;N/A
RX550;RX550;Adart;N/A
S4090;S4090;Adart;N/A
ALIGATOR S5060;S5060 Duo;Adart;N/A
G3SMNTA22;A2272PW4T;Admiral Overseas Corporation;N/A
G3SMNTA24;A2272PW4T;Admiral Overseas Corporation;N/A
G2SMNT;A2272PWHT;Admiral Overseas Corporation;N/A
G3SMNTA24;A2472PW4T;Admiral Overseas Corporation;N/A
A7;A7;Admiral Overseas Corporation;N/A
C7;C7;Admiral Overseas Corporation;N/A
Fire;Fire;Admiral Overseas Corporation;N/A
O7;O7;Admiral Overseas Corporation;N/A
One;One;Admiral Overseas Corporation;N/A
5041;5041;Advan digital;N/A
5059;5059;Advan digital;N/A
5060;5060;Advan digital;N/A
5061;5061;Advan digital;N/A
A8;A8;Advan digital;N/A
5701;ADVAN G2 plus;Advan digital;N/A
i5G;ADVAN S50 4G;Advan digital;N/A
E1C_3G;E1C;Advan digital;N/A
7035;E1C 4G;Advan digital;N/A
S7D;E1C NXT;Advan digital;N/A
8001;G-Tab;Advan digital;N/A
G1;G1;Advan digital;N/A
i5K;G1 PRO;Advan digital;N/A
i55C;G2;Advan digital;N/A
6001;G3;Advan digital;N/A
i7_Plus;I Tab;Advan digital;N/A
I55A;I55A;Advan digital;N/A
I5E;I5E;Advan digital;N/A
i5E;I5E;Advan digital;N/A
I7D;I7D;Advan digital;N/A
ADVAN M4;M4;Advan digital;N/A
ADVAN S40;S40;Advan digital;N/A
i4U;S40 LTE;Advan digital;N/A
S45E;S45E;Advan digital;N/A
S4T;S4T;Advan digital;N/A
S4Z;S4Z;Advan digital;N/A
5063;S50 Prime;Advan digital;N/A
5062;S5E FULL VIEW;Advan digital;N/A
S5E_NXT;S5E_NXT;Advan digital;N/A
5502;S6 Plus;Advan digital;N/A
5504;S6 Pro;Advan digital;N/A
S7A;S7A;Advan digital;N/A
S7C;S7C;Advan digital;N/A
T2J;T2J;Advan digital;N/A
T2K;T2K;Advan digital;N/A
7008;X7 Pro;Advan digital;N/A
X7 Pro;X7 Pro;Advan digital;N/A
i10;i10;Advan digital;N/A
i55D;i55D;Advan digital;N/A
i55K;i55K;Advan digital;N/A
i5C;i5C;Advan digital;N/A
5058;i5C plus;Advan digital;N/A
i5D;i5D;Advan digital;N/A
5501;i6A;Advan digital;N/A
5503;i6c;Advan digital;N/A
i7;i7;Advan digital;N/A
i7A;i7A;Advan digital;N/A
i7U;i7U;Advan digital;N/A
SP4871;ADVANCE;Advance;N/A
HL4736;HL4736;Advance;N/A
HL5576;HL5576;Advance;N/A
HL5585;HL5585;Advance;N/A
HL5677;HL5677;Advance;N/A
HL6077;HL6077;Advance;N/A
HL6248;HL6248;Advance;N/A
HL6256;HL6256;Advance;N/A
HL6577;HL6577;Advance;N/A
HL7257;HL7257;Advance;N/A
Pr5747;Pr5747;Advance;N/A
Pr6146;Pr6146;Advance;N/A
Pr6150;Pr6150;Advance;N/A
ADVANCE;TR4986;Advance;N/A
Tr3946;Tr3946;Advance;N/A
ADVANCE;Tr4986;Advance;N/A
Tr4986;Tr4986;Advance;N/A
I101MTK;I101MTK;Advantage;N/A
PIC10GS8;PIC10GS8;Advantage Air;N/A
PIC7GS8;PIC7GS8;Advantage Air;N/A
PIC8GS8;PIC8GS8;Advantage Air;N/A
i8;i8;Aelion;N/A
AFFIX T737;T737;Affix;N/A
ChampionPro;ChampionPro;AfriOne;N/A
Gravity Z2;Gravity Z2;AfriOne;N/A
moxie;moxie;AfriOne;N/A
LC-TS08A;EDSTAR LC-TS08A;Aikun;N/A
LC-TS08S;EDSTAR LC-TS08S;Aikun;N/A
X300;RX300;Aikun;N/A
S7;Solely Tab S7;Aikun;N/A
S8;Solely Tab S8;Aikun;N/A
Q88;Q88;Aimson;N/A
AT8-N;AT8-N;Airtab;N/A
HP2707;HP2707;Airtel;N/A
SH960S-AT;SH960S-AT;Airtel;N/A
AT1001;AT1001;Aiuto;N/A
AT701;AT701;Aiuto;N/A
AW790;AW790;Aiwa;N/A
AWM501;AWM501;Aiwa;N/A
AWM509;AWM509;Aiwa;N/A
AWM539;AWM539;Aiwa;N/A
AWM561;AWM561;Aiwa;N/A
AWM580;AWM580;Aiwa;N/A
AWM599;AWM599;Aiwa;N/A
AWM999;AWM999;Aiwa;N/A
KSTB6043;Aiwa;Aiwa;N/A
Z9;Z9;Aiwa;N/A
Z9 PLUS;Z9 PLUS;Aiwa;N/A
AX-115ATV;AX-115ATV;Akari;N/A
AX-117ATV;AX-117ATV;Akari;N/A
ALBA 7 TABLET;ALBA 7 TABLET;Alba;N/A
Alba 4G Plus;Alba 4G Plus;Alba;N/A
Alba 6;Alba 6;Alba;N/A
Alba10Nou;Alba10Nou;Alba;N/A
Alba7Nou;Alba7Nou;Alba;N/A
Alba8Nou;Alba8Nou;Alba;N/A
Alba_8in;Alba_8in;Alba;N/A
Alco_S9;Alco S9;Alco;N/A
RCT6873W42BMF8KC;Voyager Pro;Alco;N/A
Access_Q784C;Alcor;Alcor;N/A
Zest_Q108I;Alcor;Alcor;N/A
Zest_Q708I;Alcor;Alcor;N/A
Comet_O118LR;Comet_O118LR;Alcor;N/A
S12;S12;Aldo Mobile;N/A
ALIGATOR S5070;ALIGATOR S5070;Aligator;N/A
ALIGATOR S6000;ALIGATOR S6000;Aligator;N/A
Aligator_S5066;Aligator S5066;Aligator;N/A
RX460;RX460;Aligator;N/A
RX600;RX600;Aligator;N/A
RX700;RX700;Aligator;N/A
ALIGATOR S5065;S5065;Aligator;N/A
S5068;S5068;Aligator;N/A
AllCall_Madrid;AllCall_Madrid;AllCall;N/A
AllCall_S1;AllCall_S1;AllCall;N/A
AllCall_S1_X;AllCall_S1_X;AllCall;N/A
MIX2;MIX2;AllCall;N/A
Rio_X;Rio_X;AllCall;N/A
S5500;S5500;AllCall;N/A
Tab_1_3G;Tab_1_3G;AllCall;N/A
